0 -0.383 -0.075 0.474, 1 -0.525 -1.446 -0.361, 2 -0.766 -0.150 0.947, 3 -0.735 2.675 1.821, 4 -0.376 5.751 2.007, 5 0.000 0.000 0.000, 6 0.083 3.027 1.068, 7 0.891 6.137 1.424, 8 -0.667 -2.818 -1.195, 9 -0.648 -4.063 -1.746, 10 -0.558 -4.129 -1.624, 11 -0.543 -4.162 -1.929, 12 -0.677 -4.263 -1.540, 13 -0.509 -3.873 -2.429, 14 -0.967 -4.122 -1.309, 15 -0.231 -2.681 -2.157, 16 -0.006 -1.122 -1.443, 17 0.284 0.436 -0.526, 18 -1.103 -2.955 -0.234, 19 -1.305 -1.409 0.751, 20 -1.390 -0.087 1.539,
0 -0.383 -0.075 0.474, 1 -0.523 -1.453 -0.360, 2 -0.765 -0.149 0.947, 3 -0.733 2.676 1.820, 4 -0.371 5.755 2.003, 5 0.000 0.000 0.000, 6 0.083 3.027 1.067, 7 0.896 6.141 1.419, 8 -0.664 -2.832 -1.194, 9 -0.632 -4.073 -1.719, 10 -0.559 -4.129 -1.623, 11 -0.535 -4.195 -1.933, 12 -0.678 -4.263 -1.539, 13 -0.442 -3.913 -2.324, 14 -0.966 -4.121 -1.307, 15 -0.226 -2.710 -2.154, 16 -0.006 -1.123 -1.443, 17 0.283 0.436 -0.526, 18 -1.103 -2.954 -0.233, 19 -1.304 -1.408 0.751, 20 -1.388 -0.086 1.539,
0 -0.382 -0.075 0.474, 1 -0.521 -1.440 -0.347, 2 -0.765 -0.149 0.949, 3 -0.733 2.678 1.823, 4 -0.370 5.760 2.006, 5 0.000 0.000 0.000, 6 0.084 3.029 1.069, 7 0.897 6.145 1.421, 8 -0.659 -2.805 -1.168, 9 -0.646 -4.073 -1.717, 10 -0.561 -4.130 -1.623, 11 -0.537 -4.197 -1.934, 12 -0.679 -4.265 -1.540, 13 -0.496 -3.907 -2.312, 14 -0.968 -4.123 -1.308, 15 -0.227 -2.711 -2.157, 16 -0.007 -1.123 -1.444, 17 0.283 0.436 -0.527, 18 -1.090 -2.898 -0.179, 19 -1.299 -1.451 0.762, 20 -1.388 -0.086 1.541,
0 -0.383 -0.075 0.474, 1 -0.523 -1.453 -0.360, 2 -0.765 -0.149 0.947, 3 -0.734 2.676 1.820, 4 -0.373 5.673 1.945, 5 0.000 0.000 0.000, 6 0.083 3.027 1.067, 7 0.895 6.141 1.418, 8 -0.664 -2.832 -1.194, 9 -0.631 -4.073 -1.719, 10 -0.558 -4.129 -1.623, 11 -0.535 -4.195 -1.934, 12 -0.677 -4.263 -1.539, 13 -0.442 -3.913 -2.324, 14 -0.966 -4.122 -1.308, 15 -0.226 -2.710 -2.155, 16 -0.006 -1.123 -1.443, 17 0.282 0.408 -0.507, 18 -1.103 -2.954 -0.233, 19 -1.304 -1.408 0.751, 20 -1.291 -0.087 1.541,
0 -0.351 -0.081 0.437, 1 -0.523 -1.456 -0.415, 2 -0.703 -0.161 0.874, 3 -0.763 2.665 1.750, 4 -0.403 5.660 1.876, 5 0.000 0.000 0.000, 6 0.055 3.016 0.997, 7 0.866 6.129 1.349, 8 -0.694 -2.831 -1.267, 9 -0.643 -4.089 -1.794, 10 -0.585 -4.142 -1.695, 11 -0.561 -4.208 -2.006, 12 -0.704 -4.276 -1.612, 13 -0.468 -3.926 -2.396, 14 -0.932 -4.145 -1.391, 15 -0.257 -2.694 -2.229, 16 -0.033 -1.134 -1.514, 17 0.256 0.424 -0.597, 18 -1.130 -2.967 -0.305, 19 -1.333 -1.421 0.680, 20 -1.320 -0.099 1.470,
0 -0.384 -0.092 0.482, 1 -0.506 -1.475 -0.352, 2 -0.768 -0.184 0.964, 3 -0.740 2.642 1.839, 4 -0.333 5.736 1.869, 5 0.000 0.000 0.000, 6 0.091 3.032 1.051, 7 0.881 6.100 1.447, 8 -0.628 -2.858 -1.186, 9 -0.617 -4.104 -1.740, 10 -0.555 -4.165 -1.611, 11 -0.540 -4.199 -1.916, 12 -0.674 -4.300 -1.528, 13 -0.454 -3.917 -2.430, 14 -0.902 -4.168 -1.307, 15 -0.228 -2.716 -2.143, 16 -0.005 -1.155 -1.426, 17 0.283 0.404 -0.508, 18 -1.029 -3.000 -0.229, 19 -1.306 -1.444 0.766, 20 -1.295 -0.123 1.557,
0 -0.339 -0.091 0.481, 1 -0.503 -1.473 -0.349, 2 -0.678 -0.183 0.961, 3 -0.739 2.645 1.836, 4 -0.377 5.643 1.958, 5 0.000 0.000 0.000, 6 0.094 3.033 1.048, 7 0.895 6.113 1.432, 8 -0.667 -2.854 -1.179, 9 -0.628 -4.111 -1.705, 10 -0.557 -4.167 -1.609, 11 -0.533 -4.233 -1.920, 12 -0.676 -4.301 -1.526, 13 -0.493 -3.943 -2.296, 14 -0.904 -4.169 -1.304, 15 -0.230 -2.717 -2.141, 16 -0.006 -1.156 -1.425, 17 0.283 0.404 -0.508, 18 -1.104 -2.991 -0.218, 19 -1.308 -1.444 0.767, 20 -1.296 -0.121 1.557,
0 -0.339 -0.092 0.481, 1 -0.503 -1.473 -0.350, 2 -0.677 -0.183 0.962, 3 -0.738 2.646 1.840, 4 -0.377 5.645 1.965, 5 0.000 0.000 0.000, 6 0.094 3.035 1.051, 7 0.895 6.115 1.438, 8 -0.668 -2.855 -1.181, 9 -0.645 -4.110 -1.703, 10 -0.559 -4.168 -1.610, 11 -0.543 -4.201 -1.916, 12 -0.687 -4.267 -1.521, 13 -0.495 -3.944 -2.298, 14 -0.967 -4.161 -1.295, 15 -0.231 -2.718 -2.143, 16 -0.007 -1.156 -1.427, 17 0.283 0.404 -0.509, 18 -1.105 -2.992 -0.218, 19 -1.308 -1.445 0.768, 20 -1.295 -0.122 1.559,
0 -0.398 -0.081 0.438, 1 -0.546 -1.458 -0.416, 2 -0.795 -0.163 0.877, 3 -0.765 2.667 1.751, 4 -0.405 5.663 1.878, 5 0.000 0.000 0.000, 6 0.067 3.056 0.963, 7 0.866 6.134 1.352, 8 -0.694 -2.834 -1.270, 9 -0.671 -4.089 -1.793, 10 -0.585 -4.147 -1.700, 11 -0.569 -4.181 -2.005, 12 -0.712 -4.247 -1.610, 13 -0.521 -3.923 -2.388, 14 -0.993 -4.140 -1.384, 15 -0.257 -2.697 -2.232, 16 -0.033 -1.135 -1.515, 17 0.257 0.426 -0.597, 18 -1.131 -2.972 -0.308, 19 -1.334 -1.424 0.679, 20 -1.322 -0.101 1.470,
0 -0.343 -0.090 0.480, 1 -0.458 -1.440 -0.322, 2 -0.686 -0.180 0.959, 3 -0.759 2.636 1.824, 4 -0.284 5.745 2.007, 5 0.000 0.000 0.000, 6 0.181 3.038 1.041, 7 0.991 6.132 1.421, 8 -0.573 -2.791 -1.124, 9 -0.568 -4.107 -1.707, 10 -0.482 -4.165 -1.613, 11 -0.467 -4.199 -1.919, 12 -0.610 -4.265 -1.523, 13 -0.418 -3.941 -2.303, 14 -0.891 -4.158 -1.297, 15 -0.134 -2.650 -2.081, 16 0.074 -1.156 -1.437, 17 0.366 0.405 -0.519, 18 -1.012 -2.931 -0.168, 19 -1.227 -1.440 0.764, 20 -1.311 -0.115 1.553,
0 -0.384 -0.091 0.484, 1 -0.520 -1.442 -0.316, 2 -0.769 -0.181 0.969, 3 -0.736 2.651 1.843, 4 -0.368 5.746 2.018, 5 0.000 0.000 0.000, 6 0.097 3.038 1.051, 7 0.907 6.132 1.431, 8 -0.656 -2.794 -1.117, 9 -0.651 -4.111 -1.699, 10 -0.565 -4.169 -1.605, 11 -0.550 -4.202 -1.911, 12 -0.693 -4.268 -1.515, 13 -0.501 -3.944 -2.296, 14 -0.974 -4.161 -1.289, 15 -0.217 -2.653 -2.074, 16 -0.008 -1.158 -1.430, 17 0.283 0.403 -0.511, 18 -1.095 -2.934 -0.159, 19 -1.310 -1.443 0.773, 20 -1.394 -0.117 1.563,
0 -0.342 -0.090 0.480, 1 -0.458 -1.441 -0.323, 2 -0.685 -0.180 0.960, 3 -0.759 2.636 1.828, 4 -0.287 5.743 2.017, 5 0.000 0.000 0.000, 6 0.179 3.039 1.044, 7 0.985 6.129 1.430, 8 -0.573 -2.791 -1.126, 9 -0.569 -4.108 -1.709, 10 -0.483 -4.165 -1.615, 11 -0.468 -4.199 -1.921, 12 -0.611 -4.265 -1.525, 13 -0.419 -3.941 -2.306, 14 -0.891 -4.158 -1.299, 15 -0.134 -2.651 -2.085, 16 0.074 -1.156 -1.439, 17 0.365 0.405 -0.520, 18 -1.011 -2.932 -0.168, 19 -1.225 -1.441 0.765, 20 -1.309 -0.116 1.555,
0 -0.343 -0.090 0.480, 1 -0.458 -1.441 -0.323, 2 -0.685 -0.180 0.961, 3 -0.759 2.637 1.828, 4 -0.286 5.745 2.016, 5 0.000 0.000 0.000, 6 0.180 3.040 1.044, 7 0.987 6.133 1.429, 8 -0.574 -2.792 -1.127, 9 -0.569 -4.109 -1.709, 10 -0.483 -4.167 -1.615, 11 -0.468 -4.200 -1.922, 12 -0.611 -4.266 -1.525, 13 -0.419 -3.942 -2.306, 14 -0.892 -4.160 -1.299, 15 -0.135 -2.651 -2.085, 16 0.074 -1.156 -1.439, 17 0.366 0.405 -0.520, 18 -1.012 -2.933 -0.168, 19 -1.227 -1.442 0.765, 20 -1.310 -0.116 1.555,
